county,state,cases,population,num_physicians,phys_per_cap
Newton,Mississippi,2,21018,6,2.8546959748786756e-4
Noxubee,Mississippi,3,10417,1,9.599692809830086e-5
Oktibbeha,Mississippi,17,49587,21,4.2349809425857584e-4
Panola,Mississippi,7,34192,8,2.339728591483388e-4
Pearl River,Mississippi,30,55535,16,2.8810659944179345e-4
Perry,Mississippi,3,11973,2,1.6704251231938527e-4
Pike,Mississippi,17,39288,18,4.5815516188149055e-4
Pontotoc,Mississippi,5,32174,5,1.5540498539193137e-4
Prentiss,Mississippi,4,25126,9,3.5819469871845895e-4
Quitman,Mississippi,3,6792,1,1.4723203769140164e-4
Rankin,Mississippi,40,155271,98,6.311545620238165e-4
Scott,Mississippi,10,28124,5,1.777840989901863e-4
Sharkey,Mississippi,1,4321,2,4.628558204119417e-4
Simpson,Mississippi,2,26658,11,4.1263410608447746e-4
Smith,Mississippi,1,15916,1,6.282985674792661e-5
Stone,Mississippi,0,18336,5,2.7268760907504363e-4
Sunflower,Mississippi,11,25110,7,2.7877339705296696e-4
Tallahatchie,Mississippi,2,13809,3,2.1724961981316532e-4
Tate,Mississippi,11,28321,6,2.1185692595600438e-4
Tippah,Mississippi,26,22015,4,1.8169429934135816e-4
Tishomingo,Mississippi,1,19383,6,3.0954960532425323e-4
Tunica,Mississippi,12,9632,1,1.0382059800664452e-4
Union,Mississippi,3,28815,14,4.8585806003817456e-4
Walthall,Mississippi,5,14286,6,4.1999160016799666e-4
Warren,Mississippi,1,45381,26,5.729269958793327e-4
Washington,Mississippi,20,43909,20,4.554874854813364e-4
Wayne,Mississippi,0,20183,6,2.972798890155081e-4
Webster,Mississippi,5,9689,3,3.096294767261843e-4
Wilkinson,Mississippi,14,8630,3,3.476245654692932e-4
Winston,Mississippi,7,17955,7,3.898635477582846e-4
Yalobusha,Mississippi,6,12108,1,8.259002312520647e-5
Yazoo,Mississippi,9,29690,7,2.3576961940047154e-4
Adair,Missouri,2,25343,26,0.0010259243183522078
Andrew,Missouri,0,17712,2,1.1291779584462511e-4
Atchison,Missouri,1,5143,2,3.8887808671981335e-4
Audrain,Missouri,0,25388,13,5.120529383960926e-4
Barry,Missouri,1,35789,23,6.426555645589427e-4
Barton,Missouri,0,11754,4,3.403096818104475e-4
Bates,Missouri,1,16172,4,2.473410833539451e-4
Benton,Missouri,2,19443,5,2.5716196060278764e-4
Bollinger,Missouri,1,12133,1,8.241984669908514e-5
Boone,Missouri,64,180463,201,0.0011138017211284308
Buchanan,Missouri,5,87364,57,6.524426537246463e-4
Butler,Missouri,0,42478,42,9.887471161542445e-4
Caldwell,Missouri,0,9020,1,1.1086474501108647e-4
Callaway,Missouri,14,44743,17,3.79947701316407e-4
Camden,Missouri,12,46305,35,7.558578987150416e-4
Cape Girardeau,Missouri,15,78871,73,9.255619936351764e-4
Carroll,Missouri,0,8679,3,3.456619426201175e-4
Carter,Missouri,4,5982,1,1.6716817118020728e-4
Cass,Missouri,14,105780,24,2.2688598979013047e-4
Cedar,Missouri,3,14349,4,2.787650707366367e-4
Chariton,Missouri,4,7426,1,1.3466199838405601e-4
Christian,Missouri,11,88595,38,4.2891811050285006e-4
Clark,Missouri,0,6797,2,2.9424746211563924e-4
Clay,Missouri,16,249948,169,6.761406372525486e-4
Clinton,Missouri,4,20387,11,5.395595232255849e-4
Cole,Missouri,23,76745,54,7.036289009055964e-4
Cooper,Missouri,2,17709,7,3.952792365463888e-4
Crawford,Missouri,1,23920,1,4.180602006688963e-5
Dade,Missouri,0,7561,5,6.612881893929374e-4
Dallas,Missouri,0,16878,1,5.9248726152387724e-5
Daviess,Missouri,0,8278,1,1.2080212611741966e-4
DeKalb,Missouri,0,12547,3,2.391009803140193e-4
Dent,Missouri,0,15573,3,1.9264110961279138e-4
Douglas,Missouri,0,13185,2,1.5168752370117556e-4
Dunklin,Missouri,5,29131,13,4.4625999794033845e-4
Franklin,Missouri,13,103967,69,6.636721267325209e-4
Gasconade,Missouri,0,14706,7,4.7599619203046376e-4
Gentry,Missouri,0,6571,2,3.0436767615279255e-4
Greene,Missouri,49,293086,284,9.689988604027487e-4
Grundy,Missouri,0,9850,3,3.0456852791878173e-4
Harrison,Missouri,1,8352,3,3.5919540229885057e-4
Henry,Missouri,1,21824,15,6.87316715542522e-4
Hickory,Missouri,0,9544,2,2.0955574182732607e-4
Holt,Missouri,0,4403,1,2.271178741766977e-4
Howard,Missouri,0,10001,4,3.9996000399960006e-4
Howell,Missouri,0,40117,41,0.0010220106189396017
Iron,Missouri,0,10125,1,9.876543209876543e-5
Jackson,Missouri,77,703011,536,7.624347271948804e-4
Jasper,Missouri,4,121328,NA,NA
Jefferson,Missouri,30,225081,54,2.3991363109280659e-4
Johnson,Missouri,10,54062,23,4.254374606932781e-4
Knox,Missouri,0,3959,1,2.5258903763576663e-4
Laclede,Missouri,0,35723,19,5.318702236654256e-4
Lafayette,Missouri,19,32708,8,2.4458847988259754e-4
Lawrence,Missouri,0,38355,21,5.475166210402815e-4
Lewis,Missouri,0,9776,2,2.0458265139116204e-4
Lincoln,Missouri,7,59013,4,6.778167522410316e-5
Linn,Missouri,0,11920,5,4.1946308724832214e-4
Livingston,Missouri,1,15227,12,7.880738162474552e-4
McDonald,Missouri,2,22837,3,1.313657660813592e-4
